,sofifa_id,short_name,long_name,age,dob
77,192366,N. Otamendi,Nicolás Hernán Otamendi,30,1988-02-12
78,220834,Marco Asensio,Marco Asensio Willemsen,22,1996-01-21
79,232363,M. Škriniar,Milan Škriniar,23,1995-02-11
80,208421,Saúl,Saúl Ñíguez Esclápez,23,1994-11-21
81,212831,Alisson,Alisson Ramses Becker,25,1992-10-02
82,223848,S. Milinković-Savić,Sergej Milinković-Savić,23,1995-02-27
83,209499,Fabinho,Fábio Henrique Tavares,24,1993-10-23
84,216594,N. Fekir,Nabil Fekir,24,1993-07-18
85,202652,R. Sterling,Raheem Sterling,23,1994-12-08
86,212622,J. Kimmich,Joshua Kimmich,23,1995-02-08
87,192774,K. Manolas,Kostas Manolas,27,1991-06-14
88,197445,D. Alaba,David Olatukunbo Alaba,26,1992-06-24
89,203376,V. van Dijk,Virgil van Dijk,26,1991-07-08
90,184087,T. Alderweireld,Toby Alderweireld,29,1989-03-02
91,193747,Koke,Jorge Resurrección Merodio,26,1992-01-08
92,9014,A. Robben,Arjen Robben,34,1984-01-23
93,41236,Z. Ibrahimović,Zlatan Ibrahimović,36,1981-10-03
94,120533,Pepe,Képler Laveran Lima Ferreira,35,1983-02-26
95,139720,V. Kompany,Vincent Kompany,32,1986-04-10
96,156616,F. Ribéry,Franck Bilal Ribéry,35,1983-04-07
97,164169,Filipe Luís,Filipe Luís Kasmirski,32,1985-08-09
98,167397,Falcao,Radamel Falcao García Zárate,32,1986-02-10
99,168609,Miranda,João Miranda de Souza Filho,33,1984-09-07
100,170890,B. Matuidi,Blaise Matuidi,31,1987-04-09
101,178518,R. Nainggolan,Radja Nainggolan,30,1988-05-04
102,179844,Diego Costa,Diego da Silva Costa,29,1988-10-07
103,179846,S. Khedira,Sami Khedira,31,1987-04-04
104,180930,E. Džeko,Edin Džeko,32,1986-03-17
105,181872,A. Vidal,Arturo Vidal,31,1987-05-22
106,184267,Y. Brahimi,Yacine Brahimi,28,1990-02-08
107,187961,Paulinho,José Paulo Bezzera Maciel Júnior,29,1988-07-25
108,188350,M. Reus,Marco Reus,29,1989-05-31
109,192629,Iago Aspas,Iago Aspas Juncal,30,1987-08-01
110,204485,R. Mahrez,Riyad Mahrez,27,1991-02-21
111,211117,D. Alli,Bamidele Alli,22,1996-04-11
112,212190,N. Süle,Niklas Süle,22,1995-09-03
113,218667,Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,23,1994-08-10
114,198009,M. Perin,Mattia Perin,25,1992-11-10
115,207865,Marquinhos,Marcos  Aoás Corrêa,24,1994-05-14
116,220793,D. Sánchez,Davinson Sánchez,22,1996-06-12
117,216460,J. Giménez,José María Giménez de Vargas,23,1995-01-20
118,192563,B. Leno,Bernd Leno,26,1992-03-04
119,199564,Sergi Roberto,Sergio Roberto Carnicer,26,1992-02-07
120,204963,Carvajal,Daniel Carvajal Ramos,26,1992-01-11
121,204970,F. Thauvin,Florian Thauvin,25,1993-01-26
122,205498,Jorginho,Luiz Frello Filho Jorge,26,1991-12-20
123,212462,Alex Telles,Alex Nicolao Telles,25,1992-12-15
124,186153,W. Szczęsny,Wojciech  Szczęsny,28,1990-04-18
125,198176,S. de Vrij,Stefan de Vrij,26,1992-02-05
126,199482,A. Lopes,Anthony Lopes,27,1990-10-01
127,207566,William Carvalho,William Silva de Carvalho,26,1992-04-07
128,178750,Sergio Asenjo,Sergio  Asenjo Andrés,29,1989-06-28
129,186942,I. Gündoğan,İlkay Gündoğan,27,1990-10-24
130,193301,A. Lacazette,Alexandre Lacazette,27,1991-05-28
131,194404,Neto,Norberto Murara Neto,28,1989-07-19
132,198329,Rodrigo,Rodrigo Moreno Machado,27,1991-03-06
133,200104,H. Son,손흥민 孙兴慜,25,1992-07-08
134,20775,Quaresma,Ricardo Andrade Quaresma Bernardo,34,1983-09-26
135,137186,A. Barzagli,Andrea Barzagli,37,1981-05-08
136,143076,A. Gómez,Alejandro Darío Gómez,30,1988-02-15
137,157481,Raúl Albiol,Raúl Albiol Tortajada,32,1985-09-04
138,162240,M. Dembélé,Moussa Sidi Yaya Dembélé,30,1987-07-16
139,162895,Cesc Fàbregas,Francesc Fàbregas i Soler,31,1987-05-04
140,163587,K. Schmeichel,Kasper Schmeichel,31,1986-11-05
141,165153,K. Benzema,Karim Benzema,30,1987-12-19
142,167628,S. Ruffier,Stéphane Ruffier,31,1986-09-27
143,172879,Sokratis,Sokratis Papastathopoulos,30,1988-06-09
144,176769,Jonas,Jonas Gonçalves Oliveira,34,1984-04-01
145,177388,D. Payet,Dimitri  Payet,31,1987-03-29
146,177610,Javi Martínez,Javier Martínez Aginaga,29,1988-09-02
147,180403,Willian,Willian Borges da Silva,29,1988-08-09
148,181783,M. Mandžukić,Mario Mandžukić,32,1986-05-21
149,183898,A. Di María,Ángel Fabián Di María Hernández,30,1988-02-14
150,185020,José Callejón,José María Callejón Bueno,31,1987-02-11
151,188377,K. Walker,Kyle Walker,28,1990-05-28
152,190584,Illarramendi,Asier Illarramendi Andonegi,28,1990-03-08
153,190941,L. Hrádecký,Lukáš Hrádecký,28,1989-11-24
154,192883,H. Mkhitaryan,Henrikh Mkhitaryan,29,1989-01-21
155,193082,J. Cuadrado,Juan Cuadrado,30,1988-05-26
156,230666,Gabriel Jesus,Gabriel Fernando de Jesus,21,1997-04-03
157,206585,Kepa,Kepa Arrizabalaga,23,1994-10-03
158,222737,Malcom,Malcom Filipe Silva de Oliveira,21,1997-02-26
159,207410,M. Kovačić,Mateo Kovačić,24,1994-05-06
160,211300,A. Martial,Anthony Martial,22,1995-12-05
161,213565,T. Lemar,Thomas Lemar,22,1995-11-12
162,225850,P. Kimpembe,Presnel Kimpembe,22,1995-08-13
163,202556,M. Depay,Memphis Depay,24,1994-02-13
164,209658,L. Goretzka,Leon Goretzka,23,1995-02-06
165,212218,A. Laporte,Aymeric  Laporte,24,1994-05-27
166,213331,J. Tah,Jonathan Tah,22,1996-02-11
167,219683,C. Tolisso,Corentin Tolisso,23,1994-08-03
168,220971,N. Keïta,Naby Keïta,23,1995-02-10
169,200316,T. Horn,Timo Horn,25,1993-05-12
170,210008,A. Rabiot,Adrien Rabiot,23,1995-04-03
171,210617,Samu Castillejo,Samuel Castillejo Azuaga,23,1995-01-18
172,212188,T. Werner,Timo Werner,22,1996-03-06
173,212198,Bruno Fernandes,Bruno Miguel Borges Fernandes,23,1994-09-08
174,213345,K. Coman,Kingsley Coman,22,1996-06-13
175,224411,Gonçalo Guedes,Gonçalo Manuel Ganchinho Guedes,21,1996-11-29
176,195093,Willian José,Willian José da Silva,26,1991-11-23
177,200888,Danilo Pereira,Danilo Luís Hélio Pereira,26,1991-09-09
178,201153,Morata,Álvaro Borja Morata Martín,25,1992-10-23
179,202166,J. Draxler,Julian Draxler,24,1993-09-20
180,204639,S. Savić,Stefan Savić,27,1991-01-08
181,204935,J. Pickford,Jordan Pickford,24,1994-03-07
182,206545,Manu Trigueros,Manuel Trigueros Muñoz,26,1991-10-17
183,208418,Y. Carrasco,Yannick Ferreira Carrasco,24,1993-09-04
184,200724,Nacho Fernández,José Ignacio Fernández Iglesias,28,1990-01-18
185,208093,Gerard Moreno,Gerard Moreno Balagueró,26,1992-04-07
186,179783,R. Fährmann,Ralf Fährmann,29,1988-09-27
187,193698,O. Baumann,Oliver Baumann,28,1990-06-02
188,208808,Q. Promes,Quincy Anton Promes,26,1992-01-04
189,24630,Pepe Reina,José Manuel  Reina Páez,35,1982-08-31
190,53302,D. De Rossi,Daniele De Rossi,34,1983-07-24
191,106231,Aduriz,Aritz Aduriz Zubeldia,37,1981-02-11
192,163705,S. Mandanda,Steve Mandanda,33,1985-03-28
193,168354,E. Viviano,Emiliano Viviano,32,1985-12-01
194,176266,Lucas Leiva,Lucas  Pezzini Leiva,31,1987-01-09
195,178005,Rui Patrício,Rui Pedro dos Santos Patrício,30,1988-02-15
196,178086,Adán,Antonio Adán Garrido,31,1987-05-13
197,178088,Juan Mata,Juan Manuel Mata García,30,1988-04-28
198,178562,E. Banega,Éver Maximiliano David Banega,30,1988-06-29
199,179944,David Luiz,David Luiz Moreira Marinho,31,1987-04-22
200,184942,Giuliano,Giuliano Victor de Paula,28,1990-05-31
201,185221,Luiz Gustavo,Luiz Gustavo Dias,30,1987-07-23
202,186627,M. Balotelli,Mario  Barwuah Balotelli,27,1990-08-12
203,189068,B. Dost,Bas Dost,29,1989-05-31
204,189358,S. Kagawa,香川 真司,29,1989-03-17
205,189712,K. Strootman,Kevin Strootman,28,1990-02-13
206,190547,K. Glik,Kamil Glik,30,1988-02-03
207,192593,D. Subašić,Danijel Subašić,33,1984-10-27
208,197965,Pizzi,Luís Miguel Afonso Fernandes,28,1989-10-06
209,207863,Felipe,Felipe Augusto de Almeida Monteiro,29,1989-05-16
210,208618,Lucas Vázquez,Lucas Vázquez Iglesias,27,1991-07-01
211,230294,Louri Beretta,Lourival Adnan Beretta Barbosa,26,1992-02-29
212,230375,Josué Chiamulera,Josué Durval Chiamulera Vaz,26,1992-02-29
213,230481,Ronaldo Cabrais,Ronaldo Jailson Cabrais Petri,26,1992-02-29
214,230621,G. Donnarumma,Gianluigi Donnarumma,19,1999-02-25
215,231443,O. Dembélé,Ousmane Dembélé,21,1997-05-15
216,230658,Arthur,Arthur Henrique Ramos Oliveira Melo,21,1996-08-12
217,210413,A. Romagnoli,Alessio Romagnoli,23,1995-01-12
218,212523,Anderson Talisca,Anderson Souza Conceição,24,1994-02-01
219,213661,A. Christensen,Andreas Christensen,22,1996-04-10
220,220440,C. Lenglet,Clément Lenglet,23,1995-06-17
221,220814,L. Hernández,Lucas Hernández,22,1996-02-14
222,229906,L. Bailey,Leon Bailey Butler,20,1997-08-09
223,206113,S. Gnabry,Serge Gnabry,22,1995-07-14
224,209989,T. Partey,Thomas Partey,25,1993-06-13
225,212194,J. Brandt,Julian Brandt,22,1996-05-02
226,198706,Luis Alberto,Luis Alberto Romero Alconchel,25,1992-09-28
227,201400,Rafinha,Rafael Alcântara do Nascimento,25,1993-02-12
228,202651,Suso,Jesús Joaquín Fernández Sáez,24,1993-11-19
229,203574,J. Stones,John Stones,24,1994-05-28
230,208596,A. Belotti,Andrea Belotti,24,1993-12-20
231,212404,F. Bernardeschi,Federico Bernardeschi,24,1994-02-16
232,221087,Pau López,Pau López Sabata,23,1994-12-13
233,225508,E. Bailly,Eric Bailly,24,1994-04-12
234,227055,Gelson Martins,Gelson Dany Batalha Martins,23,1995-05-11
235,231866,Rodri,Rodrigo Hernández Cascante,22,1996-06-22
236,208670,H. Ziyech,Hakim Ziyech,25,1993-03-19
237,211320,D. Rugani,Daniele Rugani,23,1994-07-29
238,192318,M. Götze,Mario Götze,26,1992-06-03
239,192984,K. Casteels,Koen Casteels,26,1992-06-25
240,198717,W. Zaha,Wilfried Zaha,25,1992-11-10
241,201455,G. Kondogbia,Geoffrey Kondogbia,25,1993-02-15
242,201995,Felipe Anderson,Felipe  Anderson Pereira Gomes,25,1993-04-15
243,209297,Fred,Frederico R. de Paula Santos,25,1993-03-05
244,236583,J. Pavlenka,Jiří Pavlenka,26,1992-04-14
245,192227,S. Mustafi,Shkodran Mustafi,26,1992-04-17
246,203263,H. Maguire,Harry Maguire,25,1993-03-05
247,208448,E. Forsberg,Emil Forsberg,26,1991-10-23
248,177683,Y. Sommer,Yann Sommer,29,1988-12-17
249,181291,G. Wijnaldum,Georginio Wijnaldum,27,1990-11-11
250,185239,O. Toprak,Ömer Toprak,28,1989-07-21
251,186561,A. Ramsey,Aaron Ramsey,27,1990-12-26
252,188152,Oscar,Oscar dos Santos Emboaba Júnior,26,1991-09-09
253,192638,Marcos Alonso,Marcos Alonso Mendoza,27,1990-12-28
254,193469,Víctor Ruiz,Víctor Ruíz Torre,29,1989-01-25
255,197655,S. Coates,Sebastián Coates Nión,27,1990-10-07
256,198141,Bartra,Marc Bartra Aregall,27,1991-01-15
257,198951,C. Bakambu,Cédric Bakambu,27,1991-04-11
258,200949,Lucas,Lucas Rodrigues M. Silva,25,1992-08-13
259,201305,Gabriel Paulista,Gabriel Armando de Abreu,27,1990-11-26
260,202371,T. Meunier,Thomas Meunier,26,1991-09-12
261,202685,S. Zaza,Simone Zaza,27,1991-06-25
262,203551,A. Florenzi,Alessandro  Florenzi,27,1991-03-11
263,207494,J. Lingard,Jesse Lingard,25,1992-12-15
264,216194,Dani García,Daniel García Carrillo,28,1990-05-24
265,216354,A. Kramarić,Andrej Kramarić,27,1991-06-19
266,216451,J. Seri,Jean Michaël Seri,26,1991-07-19
267,5479,Casillas,Iker Casillas Fernández,37,1981-05-20
268,45186,Joaquín,Joaquín Sánchez Rodríguez,36,1981-07-21
269,48940,P. Čech,Petr Čech,36,1982-05-20
270,104389,R. Jarstein,Rune  Almenning Jarstein,33,1984-09-29
271,113422,David Villa,David Villa Sánchez,36,1981-12-03
272,146530,Dani Alves,Daniel Alves da Silva,35,1983-05-06
273,158963,L. Biglia,Lucas Rodrigo Biglia,32,1986-01-30
274,163489,A. Consigli,Andrea Consigli,31,1987-01-27
275,165229,L. Koscielny,Laurent Koscielny,32,1985-09-10
276,167905,A. Valencia,Luis Antonio Valencia Mosquera,32,1985-08-04
277,168435,S. Sirigu,Salvatore Sirigu,31,1987-01-12
278,168530,Jardel,Jardel Nivaldo Vieira,32,1986-03-29
279,170481,E. Garay,Ezequiel Marcelo Garay,31,1986-10-10
280,171897,A. Guardado,José Andrés Guardado Hernández,31,1986-09-28
281,172522,D. Wass,Daniel Wass,29,1989-05-31
282,173521,Marcano,Iván Marcano Sierra,31,1987-06-23
283,177413,A. Witsel,Axel  Witsel,29,1989-01-12
284,177457,L. Bender,Lars Bender,29,1989-04-27
285,178509,O. Giroud,Olivier Giroud,31,1986-09-30
286,179847,F. Fazio,Federico Julián Fazio,31,1987-03-17
287,181786,V. Ćorluka,Vedran Ćorluka,32,1986-02-05
288,183280,A. Rami,Adil Rami,32,1985-12-27
289,183376,L. Fejsa,Ljubomir Fejsa,29,1988-08-14
290,183498,M. Parolo,Marco Parolo,33,1985-01-25
291,183574,M. Kruse,Max Kruse,30,1988-03-19
292,183711,J. Henderson,Jordan Brian Henderson,28,1990-06-17
293,184144,N. Gaitán,Osvaldo Nicolás Fabián Gaitán,30,1988-02-23
294,184200,M. Arnautović,Marko Arnautović,29,1989-04-19
295,184431,S. Giovinco,Sebastian Giovinco,31,1987-01-26
296,185103,A. Kolarov,Aleksandar Kolarov,32,1985-11-10
297,186345,K. Trippier,Kieran Trippier,27,1990-09-19
298,187754,Marlos,Marlos Romero Bonfim,30,1988-06-07
299,187936,S. Nzonzi,Steven N'Kemboanza Mike Christopher Nzonzi,29,1988-12-15
300,188803,Taison,Taison Barcellos Freda,30,1988-01-13
301,189125,G. Bonaventura,Giacomo Bonaventura,28,1989-08-22
302,189505,Pedro,Pedro Eliezer Rodríguez Ledesma,30,1987-07-28
303,191180,J. Pastore,Javier Matías Pastore,29,1989-06-20
304,191740,Ander Herrera,Ander Herrera Agüera,28,1989-08-14
305,193474,I. Gueye,Idrissa Gana Gueye,28,1989-09-26
306,193525,Mário Fernandes,Mário Figueira Fernandes,27,1990-09-19
307,195365,K. Kampl,Kevin Kampl,27,1990-10-09
308,198164,Jonathan Viera,Jonathan Viera Ramos,28,1989-10-01
309,199845,F. Acerbi,Francesco Acerbi,30,1988-02-10
310,199914,Allan,Allan Marques Loureiro,27,1991-01-08
311,205678,E. Višća,Edin Višća,28,1990-02-17
312,207471,F. Vázquez,Franco Vázquez,29,1989-02-22
313,207664,C. Bacca,Carlos Arturo Bacca Ahumada,31,1986-09-08
314,208830,J. Vardy,Jamie Vardy,31,1987-01-11
315,230168,Raphaelito Anjos,Raphael William Anjos Rochedo,30,1988-02-29
316,230225,Juiano Mestres,Juan Everton Mestres de Mesquita,34,1984-02-29
317,230258,Rosberto Dourado,Rosberto J. Dourado Santos,30,1988-02-29
318,231677,M. Rashford,Marcus Rashford,20,1997-10-31
319,210035,Grimaldo,Alejandro Grimaldo García,22,1995-09-20
320,204884,B. Mendy,Benjamin Mendy,23,1994-07-17
321,208135,A. Doucouré,Abdoulaye Doucouré,25,1993-01-01
322,210514,João Cancelo,João Pedro Cavaco Cancelo,24,1994-05-27
323,216201,Williams,Iñaki Williams Arthuer,24,1994-06-15
324,203042,J. Butland,Jack Butland,25,1993-03-10
325,210243,Ricardo Pereira,Ricardo Barbosa Pereira,24,1993-10-06
326,215316,G. Rulli,Gerónimo Rulli,26,1992-05-20
327,216267,A. Robertson,Andrew Robertson,24,1994-03-11
328,226456,Pablo Fornals,Pablo Fornals Malla,22,1996-02-22
329,188988,M. Lanzini,Manuel Lanzini,25,1993-02-15
330,193105,A. Areola,Alphonse Areola,25,1993-02-27
331,201377,J. Murillo,Jeison Fabián Murillo Cerón,26,1992-05-27
332,204529,M. Batshuayi,Michy Batshuayi Tunga,24,1993-10-02
333,210864,E. Hysaj,Elseid Hysaj,24,1994-02-02
334,226271,Fabián,Fabián Ruiz Peña,22,1996-04-03
335,189117,R. Bürki,Roman Bürki,27,1990-11-14
336,197853,S. Aurier,Serge Aurier,25,1992-12-24
337,199503,G. Xhaka,Granit Xhaka,25,1992-09-27
338,200726,B. Lecomte,Benjamin Lecomte,27,1991-04-26
339,203890,S. Vrsaljko,Šime Vrsaljko,26,1992-01-10
340,204923,M. Sabitzer,Marcel Sabitzer,24,1994-03-17
341,205362,M. Nastasić,Matija Nastasić,25,1993-03-28
342,205452,A. Rüdiger,Antonio Rüdiger,25,1993-03-03
343,205923,B. Davies,Ben Davies,25,1993-04-24
344,207877,J. Martínez,Josef Alexander Martínez,25,1993-05-19
345,212814,João Mário,João Mário Naval Costa Eduardo,25,1993-01-19
346,190813,S. El Shaarawy,Stephan El Shaarawy,25,1992-10-27
347,193165,J. Corona,Jesús Corona,25,1993-01-06
348,197061,J. Matip,Joël Andre Job Matip,26,1991-08-08
349,199987,J. Cillessen,Jasper Cillessen,29,1989-04-22
350,200610,K. Volland,Kevin Volland,25,1992-07-30
351,202477,Deulofeu,Gerard Deulofeu Lázaro,24,1994-03-13
352,203486,T. Hazard,Thorgan Hazard,25,1993-03-29
353,189881,C. Smalling,Chris Smalling,28,1989-11-22
354,193348,X. Shaqiri,Xherdan Shaqiri,26,1991-10-10
355,195086,D. Lovren,Dejan Lovren,28,1989-07-05
356,198950,Pablo Sarabia,Pablo Sarabia García,26,1992-05-11
357,201454,F. Ghoulam,Faouzi Ghoulam,27,1991-02-01
358,204024,C. Kramer,Christoph Kramer,27,1991-02-19
359,112316,J. Mathieu,Jérémy Mathieu,34,1983-10-29
360,138412,J. Milner,James Philip Milner,32,1986-01-04
361,144622,Raffael,Raffael Caetano de Araújo,33,1985-03-28
362,150418,M. Gómez,Mario Gómez García,32,1985-07-10
363,156519,H. Herrera,Héctor Miguel Herrera López,28,1990-04-19
364,157960,Manuel Fernandes,Manuel Henrique Tavares Fernandes,32,1986-02-05
365,159145,B. Gomis,Bafétimbi Gomis,32,1985-08-06
366,161956,Borja Valero,Borja Valero Iglesias,33,1985-01-12
367,162347,João Moutinho,João Filipe Iria Santos Moutinho,31,1986-09-08
368,164468,G. Cahill,Gary Cahill,32,1985-12-19
369,166706,M. Škrtel,Martin Škrtel,33,1984-12-15
370,169195,Renato Augusto,Renato  Soares de Oliveira Augusto,30,1988-02-08
371,169416,C. Vela,Carlos Alberto Vela Garrido,29,1989-03-01
372,173208,D. Criscito,Domenico Criscito,31,1986-12-30
373,173221,A. Candreva,Antonio Candreva,31,1987-02-28
374,173771,L. Piszczek,Łukasz Piszczek,33,1985-06-03
375,173909,K. Boateng,Kevin-Prince Boateng,31,1987-03-06
376,175379,Pedro León,Pedro León Sánchez Gil,31,1986-11-24
377,176600,K. Gameiro,Kévin Gameiro,31,1987-05-09
378,177326,M. Valbuena,Mathieu Valbuena,33,1984-09-28
379,177458,S. Bender,Sven Bender,29,1989-04-27
380,179784,B. Höwedes,Benedikt Höwedes,30,1988-02-29
381,180334,Marcelo,Marcelo Antônio Guedes Filho,31,1987-05-20
382,180819,A. Lallana,Adam David Lallana,30,1988-05-10
383,182212,A. Modeste,Anthony Modeste,30,1988-04-14
384,182494,F. Muslera,Fernando Muslera,32,1986-06-16
385,183900,D. Perotti,Diego Perotti,29,1988-07-26
386,184120,Bruno,Bruno  Soriano Llido,34,1984-06-12
387,184484,G. Sigurðsson,Gylfi Þór Sigurðsson,28,1989-09-08
388,187072,L. Stindl,Lars Stindl,29,1988-08-26
389,187491,F. Smolov,Fyodor Smolov,28,1990-02-09
390,189251,S. Rudy,Sebastian Rudy,28,1990-02-28
391,189362,Hulk,Givanildo Vieira de Souza,31,1986-07-25
392,189560,Iborra,Vicente Iborra de la Fuente,30,1988-01-16
393,189690,Guaita,Vicente Guaita Panadero,31,1987-01-10
394,190972,E. Salvio,Eduardo Antonio Salvio,27,1990-07-13
395,191687,Maicon,Maicon Pereira Roque,29,1988-09-14
396,193532,G. Medel,Gary Alexis Medel Soto,30,1987-08-03
397,196889,S. Verdi,Simone Verdi,25,1992-07-12
398,199042,C. Aránguiz,Charles Mariano Aránguiz Sandoval,29,1989-04-17
399,199451,W. Ben Yedder,Wissam Ben Yedder,27,1990-08-12
400,199715,Vitolo,Víctor Machín Pérez,28,1989-11-02
401,200647,J. Iličić,Josip Iličić,30,1988-01-29
402,201956,S. Sané,Salif Sané,27,1990-08-25
403,216475,Morales,José Luis Morales Nogales,30,1987-07-23
404,230271,Laure Santeiro,Laureano Thomas Santeiro Marre,30,1988-02-29
405,235243,M. de Ligt,Matthijs de Ligt,18,1999-08-12
406,234035,Odriozola,Álvaro Odriozola Arzalluz,22,1995-12-14
407,205175,A. Milik,Arkadiusz Milik,24,1994-02-28
408,210406,P. Zieliński,Piotr Zieliński,24,1994-05-20
409,212151,T. Strakosha,Thomas Strakosha,23,1995-03-19
410,230142,Oyarzabal,Mikel Oyarzabal Ugarte,21,1997-04-21
411,234153,Carlos Soler,Carlos Soler Barragán,21,1997-01-02
412,214997,A. Correa,Ángel Correa,23,1995-03-09
413,220477,M. Caldara,Mattia Caldara,24,1994-05-05
414,221992,H. Lozano,Hirving Rodrigo Lozano Bahena,22,1995-07-30
415,222028,J. Weigl,Julian Weigl,22,1995-09-08
416,226226,G. Lo Celso,Giovani Lo Celso,22,1996-04-09
417,226851,B. Pavard,Benjamin Pavard,22,1996-03-28
418,227928,Nélson Semedo,Nélson Cabral Semedo,24,1993-11-16
419,198784,A. Oxlade-Chamberlain,Alex Oxlade-Chamberlain,24,1993-08-15
420,203747,Héctor Bellerín,Héctor Bellerín Moruno,23,1995-03-19
